h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.174099,-0.270347,0.860388,0.000000,0.000000,0.000000,-0.174099,-0.270347,0.860388,-0.174025,-0.270063,0.860424
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.169571,-0.270571,0.856703,0.000000,0.000000,0.000000,-0.169571,-0.270571,0.856703,-0.169511,-0.270339,0.856732
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.165624,-0.270990,0.853686,0.000000,0.000000,0.000000,-0.165624,-0.270990,0.853686,-0.165575,-0.270799,0.853710
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.162417,-0.271643,0.851216,0.000000,0.000000,0.000000,-0.162417,-0.271643,0.851216,-0.162377,-0.271487,0.851235
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.159528,-0.271978,0.849193,0.000000,0.000000,0.000000,-0.159528,-0.271978,0.849193,-0.159495,-0.271851,0.849210
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.156858,-0.272224,0.847538,0.000000,0.000000,0.000000,-0.156858,-0.272224,0.847538,-0.156831,-0.272119,0.847551
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.154423,-0.272267,0.846182,0.000000,0.000000,0.000000,-0.154423,-0.272267,0.846182,-0.154401,-0.272182,0.846193
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.152694,-0.272578,0.845072,0.000000,0.000000,0.000000,-0.152694,-0.272578,0.845072,-0.152676,-0.272507,0.845081
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.151192,-0.272715,0.844163,0.000000,0.000000,0.000000,-0.151192,-0.272715,0.844163,-0.151177,-0.272658,0.844171
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.149846,-0.272862,0.843420,0.000000,0.000000,0.000000,-0.149846,-0.272862,0.843420,-0.149834,-0.272815,0.843426
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.148644,-0.272817,0.842810,0.000000,0.000000,0.000000,-0.148644,-0.272817,0.842810,-0.148634,-0.272778,0.842816
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.147728,-0.272781,0.842312,0.000000,0.000000,0.000000,-0.147728,-0.272781,0.842312,-0.147720,-0.272749,0.842316
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.147302,-0.272723,0.841904,0.000000,0.000000,0.000000,-0.147302,-0.272723,0.841904,-0.147295,-0.272697,0.841907
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.147038,-0.272766,0.841569,0.000000,0.000000,0.000000,-0.147038,-0.272766,0.841569,-0.147033,-0.272745,0.841572
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146869,-0.272656,0.841295,0.000000,0.000000,0.000000,-0.146869,-0.272656,0.841295,-0.146865,-0.272639,0.841298
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146702,-0.272428,0.841071,0.000000,0.000000,0.000000,-0.146702,-0.272428,0.841071,-0.146698,-0.272413,0.841073
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146631,-0.271880,0.840888,0.000000,0.000000,0.000000,-0.146631,-0.271880,0.840888,-0.146628,-0.271868,0.840889
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146778,-0.271600,0.840738,0.000000,0.000000,0.000000,-0.146778,-0.271600,0.840738,-0.146776,-0.271590,0.840739
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146659,-0.270410,0.840615,0.000000,0.000000,0.000000,-0.146659,-0.270410,0.840615,-0.146657,-0.270402,0.840616
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146692,-0.269241,0.840908,0.000000,0.000000,0.000000,-0.146692,-0.269241,0.840908,-0.146691,-0.269234,0.840909
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146650,-0.267471,0.841544,0.000000,0.000000,0.000000,-0.146650,-0.267471,0.841544,-0.146649,-0.267466,0.841545
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146867,-0.265138,0.842463,0.000000,0.000000,0.000000,-0.146867,-0.265138,0.842463,-0.146866,-0.265134,0.842463
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146995,-0.262039,0.843615,0.000000,0.000000,0.000000,-0.146995,-0.262039,0.843615,-0.146994,-0.262035,0.843615
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146727,-0.257888,0.844960,0.000000,0.000000,0.000000,-0.146727,-0.257888,0.844960,-0.146727,-0.257885,0.844961
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146461,-0.253589,0.846466,0.000000,0.000000,0.000000,-0.146461,-0.253589,0.846466,-0.146461,-0.253587,0.846466
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.146073,-0.249174,0.848105,0.000000,0.000000,0.000000,-0.146073,-0.249174,0.848105,-0.146072,-0.249172,0.848106
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.145402,-0.244552,0.849856,0.000000,0.000000,0.000000,-0.145402,-0.244552,0.849856,-0.145401,-0.244550,0.849856
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.144458,-0.239788,0.851700,0.000000,0.000000,0.000000,-0.144458,-0.239788,0.851700,-0.144457,-0.239787,0.851700
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.143438,-0.235233,0.853623,0.000000,0.000000,0.000000,-0.143438,-0.235233,0.853623,-0.143438,-0.235232,0.853623
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.141937,-0.230765,0.855612,0.000000,0.000000,0.000000,-0.141937,-0.230765,0.855612,-0.141936,-0.230764,0.855612
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.139630,-0.226773,0.857240,0.000000,0.000000,0.000000,-0.139630,-0.226773,0.857240,-0.139630,-0.226773,0.857240
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.135474,-0.223621,0.857746,0.000000,0.000000,0.000000,-0.135474,-0.223621,0.857746,-0.135474,-0.223620,0.857746
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.130214,-0.221893,0.857340,0.000000,0.000000,0.000000,-0.130214,-0.221893,0.857340,-0.130213,-0.221892,0.857341
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.122904,-0.221646,0.855795,0.000000,0.000000,0.000000,-0.122904,-0.221646,0.855795,-0.122904,-0.221646,0.855795
