"","lookback","still_thresh","zfv","zrv","yfv","yrv","zfc","zrc","yfc","yrc","control_region_taps","canon_taps_found","frac_taps_found","total_taps_found","canon_taps"
"62",20,0.05,-0.3,0.3,0,0,2,1,0,0,0,0,0,0,51
"63",20,0.05,-0.25,0.3,0,0,2,1,0,0,0,1,0.0196078431372549,1,51
"64",20,0.05,-0.2,0.3,0,0,2,1,0,0,0,1,0.0196078431372549,1,51
"65",20,0.05,-0.35,0.35,0,0,2,1,0,0,0,0,0,0,51
"66",20,0.05,-0.3,0.35,0,0,2,1,0,0,0,0,0,0,51
"67",20,0.05,-0.25,0.35,0,0,2,1,0,0,0,0,0,0,51
"68",20,0.05,-0.2,0.35,0,0,2,1,0,0,0,0,0,0,51
"69",20,0.05,-0.35,0.4,0,0,2,1,0,0,0,0,0,0,51
"70",20,0.05,-0.3,0.4,0,0,2,1,0,0,0,0,0,0,51
"71",20,0.05,-0.25,0.4,0,0,2,1,0,0,0,0,0,0,51
"72",20,0.05,-0.2,0.4,0,0,2,1,0,0,0,0,0,0,51
"73",20,0.05,-0.35,0,0,0,3,1,0,0,0,0,0,0,51
"74",20,0.05,-0.3,0,0,0,3,1,0,0,0,0,0,0,51
"75",20,0.05,-0.25,0,0,0,3,1,0,0,1,0,0,1,51
"76",20,0.05,-0.2,0,0,0,3,1,0,0,3,0,0,3,51
"77",20,0.05,-0.35,0.05,0,0,3,1,0,0,0,0,0,0,51
"78",20,0.05,-0.3,0.05,0,0,3,1,0,0,0,0,0,0,51
"79",20,0.05,-0.25,0.05,0,0,3,1,0,0,0,0,0,0,51
"80",20,0.05,-0.2,0.05,0,0,3,1,0,0,0,0,0,0,51
"81",20,0.05,-0.35,0.1,0,0,3,1,0,0,0,0,0,0,51
"82",20,0.05,-0.3,0.1,0,0,3,1,0,0,0,0,0,0,51
"83",20,0.05,-0.25,0.1,0,0,3,1,0,0,0,0,0,0,51
"84",20,0.05,-0.2,0.1,0,0,3,1,0,0,0,0,0,0,51
"85",20,0.05,-0.35,0.15,0,0,3,1,0,0,0,0,0,0,51
"86",20,0.05,-0.3,0.15,0,0,3,1,0,0,0,0,0,0,51
"87",20,0.05,-0.25,0.15,0,0,3,1,0,0,0,0,0,0,51
"88",20,0.05,-0.2,0.15,0,0,3,1,0,0,0,0,0,0,51
"89",20,0.05,-0.35,0.2,0,0,3,1,0,0,0,0,0,0,51
"90",20,0.05,-0.3,0.2,0,0,3,1,0,0,0,0,0,0,51
"91",20,0.05,-0.25,0.2,0,0,3,1,0,0,0,0,0,0,51
"92",20,0.05,-0.2,0.2,0,0,3,1,0,0,0,0,0,0,51
"93",20,0.05,-0.35,0.25,0,0,3,1,0,0,0,0,0,0,51
"94",20,0.05,-0.3,0.25,0,0,3,1,0,0,0,0,0,0,51
"95",20,0.05,-0.25,0.25,0,0,3,1,0,0,0,0,0,0,51
"96",20,0.05,-0.2,0.25,0,0,3,1,0,0,0,0,0,0,51
"97",20,0.05,-0.35,0.3,0,0,3,1,0,0,0,0,0,0,51
"98",20,0.05,-0.3,0.3,0,0,3,1,0,0,0,0,0,0,51
"99",20,0.05,-0.25,0.3,0,0,3,1,0,0,0,0,0,0,51
"100",20,0.05,-0.2,0.3,0,0,3,1,0,0,0,0,0,0,51
"101",20,0.05,-0.35,0.35,0,0,3,1,0,0,0,0,0,0,51
"102",20,0.05,-0.3,0.35,0,0,3,1,0,0,0,0,0,0,51
"103",20,0.05,-0.25,0.35,0,0,3,1,0,0,0,0,0,0,51
