h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,time
0.661118,-7.596833,28.679310,5.486978,-6.908527,29.369112,0.013764,-0.241756,0.967474,0.412930,-7.252680,29.024210,-0.155371,-0.253228,0.955977,0.182899,-0.230284,0.978970,0
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013764,-0.241756,0.967474,0.000000,0.000000,0.000000,-0.155371,-0.253228,0.955977,0.182899,-0.230284,0.978970,1
0.013018,0.004807,0.030708,-0.010639,-0.027852,-0.031820,0.013804,-0.242140,0.967455,0.001189,-0.011523,-0.000556,-0.154937,-0.253068,0.957001,0.182545,-0.231213,0.977910,2
0.004802,0.019823,0.025139,-0.013697,-0.019071,-0.026053,0.013656,-0.242128,0.967440,-0.004448,0.000376,-0.000458,-0.154777,-0.252407,0.957839,0.182088,-0.231848,0.977041,3
0.006077,0.019611,0.020581,-0.022115,-0.011215,-0.021331,0.013388,-0.241988,0.967427,-0.008019,0.004198,-0.000374,-0.154574,-0.251753,0.958525,0.181351,-0.232222,0.976330,4
0.003624,0.007165,0.016853,-0.023933,-0.005562,-0.017463,0.013050,-0.241961,0.967417,-0.010155,0.000802,-0.000306,-0.154453,-0.251514,0.959086,0.180553,-0.232408,0.975748,5
0.006541,0.009170,0.013797,-0.025575,-0.006314,-0.014300,0.012733,-0.241913,0.967409,-0.009517,0.001428,-0.000250,-0.154235,-0.251209,0.959546,0.179701,-0.232618,0.975272,6
0.005536,0.015232,0.011296,-0.029383,-0.012574,-0.011705,0.012335,-0.241869,0.967402,-0.011923,0.001329,-0.000204,-0.154051,-0.250701,0.959923,0.178721,-0.233037,0.974881,7
0.008997,0.010825,-0.006148,-0.031867,-0.023983,-0.025352,0.011954,-0.242088,0.966877,-0.011435,-0.006579,-0.015750,-0.153751,-0.250340,0.959718,0.177659,-0.233837,0.974036,8
0.007064,0.010783,0.010364,-0.031891,-0.015003,-0.004989,0.011540,-0.242159,0.966967,-0.012414,-0.002110,0.002686,-0.153515,-0.249981,0.960063,0.176596,-0.234337,0.973870,9
0.001768,0.009077,0.008485,-0.032959,0.001241,-0.004084,0.011020,-0.241987,0.967040,-0.015595,0.005159,0.002201,-0.153456,-0.249678,0.960346,0.175497,-0.234295,0.973734,10
0.001295,0.002277,-0.008451,-0.028329,0.002393,-0.003342,0.010570,-0.241909,0.966843,-0.013517,0.002335,-0.005895,-0.153413,-0.249602,0.960064,0.174553,-0.234216,0.973622,11
0.000637,-0.002151,0.008479,-0.021576,0.001621,-0.002741,0.010221,-0.241918,0.966939,-0.010470,-0.000265,0.002868,-0.153392,-0.249674,0.960347,0.173834,-0.234162,0.973531,12
-0.000699,-0.001858,0.006943,-0.017973,-0.007070,-0.002237,0.009910,-0.242067,0.967018,-0.009336,-0.004464,0.002353,-0.153415,-0.249736,0.960579,0.173235,-0.234397,0.973457,13
-0.000382,-0.000287,0.005684,-0.013757,-0.017317,-0.017608,0.009674,-0.242360,0.966819,-0.007069,-0.008802,-0.005962,-0.153428,-0.249745,0.960768,0.172776,-0.234974,0.972870,14
-0.002182,-0.003816,0.004651,-0.005036,-0.006785,0.001357,0.009554,-0.242537,0.966919,-0.003609,-0.005300,0.003004,-0.153501,-0.249873,0.960923,0.172608,-0.235201,0.972915,15
-0.003996,0.002582,0.003811,0.000260,-0.008358,0.001109,0.009491,-0.242633,0.967001,-0.001868,-0.002888,0.002460,-0.153634,-0.249786,0.961050,0.172617,-0.235479,0.972952,16
-0.001773,0.000505,0.003113,0.000697,-0.018556,0.000910,0.009474,-0.242934,0.967068,-0.000538,-0.009026,0.002010,-0.153693,-0.249770,0.961154,0.172640,-0.236098,0.972982,17
-0.002090,0.002321,0.002557,0.006256,-0.000008,0.000744,0.009543,-0.242895,0.967123,0.002083,0.001157,0.001652,-0.153763,-0.249692,0.961239,0.172849,-0.236098,0.973007,18
-0.002462,0.003203,0.002090,0.008623,-0.003248,0.000610,0.009646,-0.242896,0.967168,0.003081,-0.000022,0.001348,-0.153845,-0.249585,0.961309,0.173136,-0.236206,0.973027,19
-0.000696,0.002156,0.001715,0.010071,0.010561,0.000499,0.009802,-0.242684,0.967205,0.004688,0.006359,0.001109,-0.153868,-0.249514,0.961366,0.173472,-0.235854,0.973044,20
-0.005465,0.003444,0.016887,0.005220,-0.003377,0.000406,0.009798,-0.242683,0.967493,-0.000123,0.000034,0.008646,-0.154050,-0.249399,0.961929,0.173646,-0.235967,0.973057,21
0.003439,-0.003643,-0.001659,0.004531,0.001385,0.000334,0.009931,-0.242720,0.967471,0.003985,-0.001129,-0.000663,-0.153936,-0.249520,0.961874,0.173797,-0.235921,0.973069,22
-0.001354,0.003874,0.014130,0.004562,0.004158,0.000279,0.009984,-0.242587,0.967711,0.001604,0.004016,0.007206,-0.153981,-0.249391,0.962345,0.173949,-0.235782,0.973078,23
0.001532,0.000790,-0.003923,0.003591,-0.004060,0.000220,0.010070,-0.242641,0.967649,0.002562,-0.001635,-0.001853,-0.153930,-0.249365,0.962214,0.174069,-0.235917,0.973085,24
0.003250,0.000826,-0.003210,0.004651,-0.003211,0.000186,0.010201,-0.242681,0.967599,0.003950,-0.001193,-0.001513,-0.153821,-0.249337,0.962107,0.174224,-0.236024,0.973091,25
-0.000320,0.004602,-0.002627,0.004821,-0.003911,0.000150,0.010276,-0.242669,0.967558,0.002251,0.000346,-0.001237,-0.153832,-0.249184,0.962019,0.174384,-0.236155,0.973096,26
0.002977,-0.006562,-0.002149,0.002148,-0.015971,-0.015643,0.010362,-0.243045,0.967261,0.002563,-0.011267,-0.008896,-0.153733,-0.249403,0.961948,0.174456,-0.236687,0.972575,27
-0.002405,0.003697,0.013724,0.005359,-0.008070,0.002958,0.010411,-0.243118,0.967539,0.001477,-0.002187,0.008342,-0.153813,-0.249279,0.962405,0.174635,-0.236956,0.972674,28
-0.005838,0.007216,0.011238,-0.000801,-0.045307,-0.013347,0.010300,-0.243753,0.967504,-0.003319,-0.019045,-0.001055,-0.154007,-0.249039,0.962780,0.174608,-0.238466,0.972229,29
-0.009886,0.006211,0.009200,-0.001838,-0.033356,0.004842,0.010105,-0.244205,0.967738,-0.005862,-0.013572,0.007020,-0.154337,-0.248832,0.963086,0.174547,-0.239578,0.972390,30
-0.013916,0.002167,0.023119,-0.002121,-0.036334,0.003964,0.009838,-0.244774,0.968190,-0.008018,-0.017084,0.013543,-0.154801,-0.248760,0.963857,0.174476,-0.240789,0.972522,31
-0.016850,-0.004397,0.034597,-0.001589,-0.030576,0.035069,0.009530,-0.245357,0.969351,-0.009219,-0.017486,0.034833,-0.155362,-0.248906,0.965010,0.174423,-0.241809,0.973691,32
-0.027598,0.006423,0.059958,-0.002973,-0.034052,0.028705,0.009021,-0.245818,0.970828,-0.015286,-0.013815,0.044332,-0.156282,-0.248692,0.967009,0.174324,-0.242944,0.974648,33
-0.032388,0.019674,0.081105,-0.001945,-0.033448,0.039563,0.008448,-0.246047,0.972839,-0.017166,-0.006887,0.060332,-0.157362,-0.248036,0.969712,0.174259,-0.244059,0.975967,34
-0.035231,0.046774,0.098802,-0.011084,-0.024951,0.048537,0.007677,-0.245684,0.975295,-0.023158,0.010912,0.073671,-0.158536,-0.246477,0.973006,0.173890,-0.244890,0.977585,35
-0.039677,0.050275,0.097239,-0.016921,-0.000844,0.055990,0.006733,-0.244860,0.977849,-0.028299,0.024715,0.076615,-0.159859,-0.244801,0.976247,0.173325,-0.244918,0.979451,36
-0.035763,0.073166,0.096057,-0.011757,0.008265,0.062186,0.005941,-0.243503,0.980486,-0.023760,0.040716,0.079122,-0.161051,-0.242362,0.979449,0.172934,-0.244643,0.981524,37
-0.032017,0.048712,0.062204,0.004611,0.012247,0.067368,0.005484,-0.242487,0.982646,-0.013703,0.030479,0.064784,-0.162118,-0.240739,0.981522,0.173087,-0.244235,0.983769,38
-0.032787,0.042873,0.067366,0.002604,0.025775,0.055153,0.004981,-0.241343,0.984688,-0.015091,0.034324,0.061262,-0.163211,-0.239310,0.983768,0.173174,-0.243376,0.985608,39
-0.036688,0.039631,0.071712,0.005718,0.030931,0.061707,0.004465,-0.240167,0.986912,-0.015485,0.035281,0.066708,-0.164434,-0.237988,0.986158,0.173365,-0.242345,0.987665,40
-0.036938,0.018270,0.058706,-0.010070,0.018430,0.033971,0.003682,-0.239555,0.988456,-0.023504,0.018350,0.046338,-0.165665,-0.237379,0.988115,0.173029,-0.241730,0.988797,41
-0.032439,0.040495,0.064729,-0.014725,0.014699,0.027809,0.002896,-0.238635,0.989998,-0.023582,0.027597,0.046270,-0.166747,-0.236030,0.990273,0.172538,-0.241240,0.989724,42
-0.029228,0.030603,0.069736,-0.020932,-0.003670,0.022765,0.002060,-0.238186,0.991540,-0.025080,0.013466,0.046250,-0.167721,-0.235010,0.992597,0.171840,-0.241363,0.990483,43
-0.028953,0.030994,0.073954,-0.033383,-0.007557,0.018654,0.001021,-0.237795,0.993084,-0.031168,0.011719,0.046304,-0.168686,-0.233976,0.995062,0.170728,-0.241614,0.991105,44
-0.018393,0.016043,0.060550,-0.027057,0.005537,0.015260,0.000263,-0.237436,0.994347,-0.022725,0.010790,0.037905,-0.169299,-0.233442,0.997081,0.169826,-0.241430,0.991613,45
-0.023000,0.019673,0.066530,-0.028579,-0.005132,-0.003943,-0.000596,-0.237193,0.995390,-0.025790,0.007271,0.031292,-0.170066,-0.232786,0.999298,0.168873,-0.241601,0.991482,46
-0.030263,0.024548,0.054479,-0.016154,0.008811,-0.003240,-0.001370,-0.236637,0.996244,-0.023209,0.016680,0.025620,-0.171075,-0.231968,1.001114,0.168335,-0.241307,0.991374,47
-0.045524,0.007136,0.044596,0.010514,0.020959,0.013801,-0.001953,-0.236169,0.997217,-0.017505,0.014047,0.029199,-0.172592,-0.231730,1.002601,0.168685,-0.240609,0.991834,48
-0.061537,0.010921,0.019555,0.029076,0.020334,0.011303,-0.002494,-0.235648,0.997732,-0.016230,0.015627,0.015430,-0.174643,-0.231366,1.003253,0.169654,-0.239931,0.992211,49
-0.083899,0.006598,0.032980,0.046612,0.003154,-0.007208,-0.003116,-0.235486,0.998161,-0.018644,0.004876,0.012885,-0.177440,-0.231146,1.004352,0.171208,-0.239826,0.991971,50
