h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,hand_distance,time
0.112926,0.048932,-0.064643,-0.203716,0.009063,-0.052881,0.008700,0.011138,0.935396,-0.045395,0.028998,-0.058762,-0.227543,0.014666,0.957364,0.244942,0.007611,0.913429,-0.117686,0.198058,0.474576,151
0.228113,0.089214,-0.126843,-0.309328,0.031828,-0.084025,0.007346,0.013156,0.931882,-0.040607,0.060521,-0.105436,-0.219939,0.017640,0.953136,0.234631,0.008672,0.910628,-0.237134,0.300728,0.456642,152
0.358667,0.086811,-0.074535,-0.408113,0.047824,-0.095590,0.006522,0.015400,0.929046,-0.024723,0.067317,-0.085062,-0.207984,0.020533,0.950651,0.221028,0.010266,0.907441,-0.362161,0.397506,0.431304,153
0.412753,0.070285,-0.061031,-0.486597,0.068584,-0.078256,0.005291,0.017714,0.926725,-0.036922,0.069435,-0.069644,-0.194225,0.022876,0.948617,0.204808,0.012552,0.904833,-0.415002,0.476765,0.401561,154
0.381653,0.069821,-0.064663,-0.494641,0.085445,-0.037286,0.003408,0.020302,0.925026,-0.056494,0.077633,-0.050973,-0.181504,0.025204,0.946461,0.188320,0.015400,0.903590,-0.384588,0.489138,0.372429,155
0.331265,0.070265,-0.052943,-0.450988,0.092382,-0.043951,0.001413,0.023013,0.923411,-0.059862,0.081324,-0.048448,-0.170461,0.027546,0.944696,0.173287,0.018480,0.902125,-0.333307,0.444433,0.346493,156
0.266798,0.066101,-0.043343,-0.379094,0.085965,-0.049338,-0.000459,0.025547,0.921866,-0.056148,0.076033,-0.046341,-0.161568,0.029749,0.943252,0.160650,0.021345,0.900480,-0.268383,0.371404,0.325153,157
0.208960,0.053541,-0.035478,-0.307352,0.072109,-0.040408,-0.002099,0.027641,0.920601,-0.049196,0.062825,-0.037943,-0.154603,0.031534,0.942069,0.150405,0.023749,0.899134,-0.210445,0.300445,0.308114,158
0.167827,0.041814,-0.029054,-0.241345,0.055008,-0.046366,-0.003324,0.029255,0.919344,-0.036759,0.048411,-0.037710,-0.149009,0.032928,0.941101,0.142360,0.025582,0.897588,-0.169182,0.233148,0.294692,159
0.134811,0.026122,-0.052929,-0.199053,0.051661,-0.011314,-0.004395,0.030551,0.918274,-0.032121,0.038892,-0.032122,-0.144515,0.033798,0.939336,0.135725,0.027304,0.897211,-0.140546,0.196292,0.283463,160
0.111950,0.013665,-0.043339,-0.155307,0.033176,-0.022622,-0.005117,0.031332,0.917174,-0.021679,0.023421,-0.032980,-0.140783,0.034254,0.937892,0.130548,0.028410,0.896457,-0.116892,0.150784,0.274539,161
0.093840,0.030315,-0.020953,-0.133251,0.041244,0.008270,-0.005774,0.032525,0.916963,-0.019706,0.035780,-0.006341,-0.137655,0.035264,0.937193,0.126107,0.029785,0.896732,-0.095289,0.133783,0.266903,162
0.078424,0.032391,-0.017157,-0.111984,0.028866,0.006757,-0.006334,0.033546,0.916790,-0.016780,0.030628,-0.005200,-0.135041,0.036344,0.936621,0.122374,0.030747,0.896958,-0.079408,0.112301,0.260513,163
0.065583,0.029345,-0.014040,-0.088299,0.016214,-0.021248,-0.006712,0.034305,0.916201,-0.011358,0.022780,-0.017645,-0.132855,0.037322,0.936153,0.119431,0.031288,0.896249,-0.066259,0.084255,0.255493,164
0.052593,0.015654,-0.011498,-0.078960,0.019026,-0.004038,-0.007152,0.034883,0.915942,-0.013184,0.017340,-0.007768,-0.131102,0.037844,0.935770,0.116799,0.031922,0.896115,-0.053365,0.077758,0.251122,165
0.045329,0.019155,0.005202,-0.065131,0.009313,-0.003306,-0.007482,0.035357,0.915974,-0.009901,0.014234,0.000948,-0.129591,0.038482,0.935943,0.114628,0.032232,0.896005,-0.043397,0.063959,0.247542,166
0.030542,-0.008932,-0.024889,-0.049124,0.018790,-0.016050,-0.007791,0.035522,0.915292,-0.009291,0.004929,-0.020469,-0.128573,0.038185,0.935114,0.112990,0.032859,0.895470,-0.034356,0.046274,0.244852,167
0.016875,-0.020768,-0.034817,-0.033663,0.025533,0.000202,-0.008071,0.035601,0.914715,-0.008394,0.002382,-0.017307,-0.128010,0.037493,0.933953,0.111868,0.033710,0.895476,-0.022497,0.033663,0.242974,168
0.008655,0.003183,-0.028503,-0.028013,0.016215,-0.013193,-0.008394,0.035925,0.914020,-0.009679,0.009699,-0.020848,-0.127722,0.037599,0.933003,0.110934,0.034250,0.895037,-0.012980,0.025815,0.241680,169
0.004628,0.002255,-0.023335,-0.016188,0.002144,-0.024083,-0.008587,0.035998,0.913230,-0.005780,0.002199,-0.023709,-0.127568,0.037674,0.932225,0.110395,0.034322,0.894234,-0.008217,0.012218,0.240999,170
0.008393,0.000207,-0.033479,-0.011569,0.003618,-0.019712,-0.008639,0.036062,0.912343,-0.001588,0.001912,-0.026597,-0.127288,0.037681,0.931109,0.110009,0.034442,0.893577,-0.013516,0.008395,0.240269,171
0.011086,0.004436,-0.013041,-0.006959,0.004127,-0.016140,-0.008571,0.036204,0.911857,0.002063,0.004281,-0.014589,-0.126918,0.037829,0.930675,0.109777,0.034580,0.893039,-0.012935,0.004394,0.239691,172
0.004182,0.000956,-0.025038,-0.004941,0.007853,-0.013211,-0.008583,0.036351,0.911219,-0.000380,0.004405,-0.019124,-0.126779,0.037860,0.929840,0.109612,0.034842,0.892598,-0.008014,0.002923,0.239326,173
0.011551,0.003855,-0.006149,-0.001654,0.008524,0.002466,-0.008418,0.036557,0.911158,0.004949,0.006189,-0.001842,-0.126394,0.037989,0.929635,0.109557,0.035126,0.892681,-0.012317,0.002117,0.238845,174
0.007992,0.004645,-0.019391,-0.005453,0.000182,-0.011265,-0.008376,0.036638,0.910647,0.001269,0.002413,-0.015328,-0.126128,0.038144,0.928989,0.109375,0.035132,0.892305,-0.010821,0.003657,0.238362,175
0.005430,0.010746,-0.001520,-0.008935,-0.001781,-0.009234,-0.008434,0.036787,0.910468,-0.001752,0.004483,-0.005377,-0.125947,0.038502,0.928938,0.109078,0.035073,0.891997,-0.005445,0.007367,0.237934,176
0.002451,0.001475,-0.015594,-0.012198,0.009681,0.005735,-0.008597,0.036973,0.910303,-0.004874,0.005578,-0.004930,-0.125865,0.038551,0.928418,0.108671,0.035395,0.892188,-0.004783,0.013059,0.237339,177
0.007555,-0.000304,0.001602,-0.004975,0.003455,-0.034935,-0.008554,0.037026,0.909748,0.001290,0.001575,-0.016665,-0.125613,0.038541,0.928472,0.108505,0.035510,0.891024,-0.007210,-0.000561,0.237113,178
0.002504,-0.000363,0.001302,-0.010743,0.018026,-0.002253,-0.008691,0.037320,0.909732,-0.004119,0.008831,-0.000476,-0.125530,0.038529,0.928515,0.108147,0.036111,0.890949,-0.002270,0.010433,0.236689,179
0.001756,-0.000700,0.001059,-0.013534,0.005607,-0.001861,-0.008888,0.037402,0.909719,-0.005889,0.002453,-0.000402,-0.125471,0.038506,0.928550,0.107696,0.036298,0.890887,-0.001571,0.013115,0.236200,180
-0.003356,-0.003569,-0.013495,-0.009757,0.004163,-0.001509,-0.009106,0.037412,0.909469,-0.006557,0.000297,-0.007501,-0.125583,0.038387,0.928101,0.107371,0.036437,0.890836,0.001153,0.009431,0.235923,181
-0.003356,-0.003569,-0.013495,-0.009757,0.004163,-0.001509,-0.009106,0.037412,0.909469,-0.006557,0.000297,-0.007501,-0.125583,0.038387,0.928101,0.107371,0.036437,0.890836,0.001153,0.009431,0.235923,182
-0.029377,0.000815,0.032297,0.021550,-0.013525,-0.001237,-0.009237,0.037200,0.909986,-0.003914,-0.006355,0.015528,-0.126562,0.038414,0.929177,0.108089,0.035986,0.890795,0.034212,-0.021604,0.237782,183
-0.058007,-0.007177,0.055743,0.053144,-0.036744,0.012265,-0.009318,0.036468,0.911120,-0.002432,-0.021961,0.034005,-0.128496,0.038175,0.931035,0.109860,0.034761,0.891204,0.066294,-0.050909,0.241685,184
-0.115442,-0.016405,0.090251,0.119929,-0.066959,0.010055,-0.009243,0.035079,0.912791,0.002244,-0.041682,0.050152,-0.132344,0.037628,0.934044,0.113858,0.032529,0.891539,0.128752,-0.117812,0.249896,185
-0.212991,-0.049259,0.073891,0.211578,-0.090063,0.035008,-0.009266,0.032756,0.914606,-0.000706,-0.069661,0.054451,-0.139443,0.035986,0.936507,0.120911,0.029527,0.892706,0.221027,-0.204980,0.264092,186
-0.298754,-0.075413,0.060496,0.306243,-0.091067,0.055742,-0.009142,0.029982,0.916544,0.003744,-0.083240,0.058120,-0.149402,0.033472,0.938523,0.131119,0.026492,0.894564,0.302573,-0.296070,0.284030,187
-0.339257,-0.077269,0.094911,0.368187,-0.087742,0.086830,-0.008659,0.027232,0.919573,0.014465,-0.082506,0.090870,-0.160711,0.030896,0.941687,0.143392,0.023567,0.897459,0.347444,-0.353849,0.307389,188
-0.330824,-0.091916,0.062495,0.372187,-0.086227,0.071105,-0.007970,0.024263,0.921799,0.020682,-0.089072,0.066801,-0.171738,0.027832,0.943770,0.155798,0.020693,0.899829,0.334133,-0.361207,0.330547,189
-0.283537,-0.067979,0.066383,0.330874,-0.057716,0.072087,-0.007181,0.022168,0.924107,0.023669,-0.062848,0.069233,-0.181189,0.025566,0.945983,0.166827,0.018769,0.902232,0.288231,-0.320357,0.350821,190
-0.229125,-0.065266,0.054347,0.276489,-0.057025,0.059026,-0.006392,0.020129,0.925997,0.023682,-0.061145,0.056688,-0.188827,0.023391,0.947794,0.176043,0.016868,0.904199,0.232759,-0.268503,0.367523,191
-0.181875,-0.064319,0.044501,0.212257,-0.048913,0.048317,-0.005885,0.018242,0.927544,0.015191,-0.056616,0.046409,-0.194889,0.021247,0.949278,0.183119,0.015238,0.905810,0.184729,-0.206094,0.380546,192
-0.135435,-0.060280,0.036424,0.157598,-0.046269,0.039564,-0.005516,0.016466,0.928810,0.011082,-0.053275,0.037994,-0.199404,0.019238,0.950492,0.188372,0.013695,0.907129,0.137774,-0.152867,0.390232,193
-0.098296,-0.038579,0.060539,0.103509,-0.025212,0.018511,-0.005429,0.015403,0.930128,0.002606,-0.031895,0.039525,-0.202680,0.017952,0.952510,0.191822,0.012855,0.907746,0.103991,-0.101077,0.397067,194
-0.072143,-0.041206,0.034159,0.070919,-0.023386,0.015158,-0.005449,0.014327,0.930950,-0.000612,-0.032296,0.024658,-0.205085,0.016578,0.953649,0.194186,0.012075,0.908251,0.075074,-0.069011,0.401869,195
-0.057816,-0.032236,0.027979,0.053153,-0.022777,0.012406,-0.005527,0.013410,0.931623,-0.002332,-0.027507,0.020192,-0.207012,0.015504,0.954581,0.195958,0.011316,0.908664,0.060276,-0.051639,0.405599,196
-0.048739,-0.024694,0.022892,0.041361,-0.018683,-0.003662,-0.005650,0.012687,0.931943,-0.003689,-0.021689,0.009617,-0.208637,0.014680,0.955344,0.197337,0.010693,0.908542,0.050796,-0.041688,0.408682,197
-0.044260,-0.014149,0.018761,0.031560,-0.016002,-0.002986,-0.005862,0.012184,0.932206,-0.006350,-0.015076,0.007886,-0.210112,0.014209,0.955970,0.198389,0.010160,0.908443,0.045990,-0.031849,0.411276,198
-0.038591,-0.012946,0.015348,0.027377,-0.013967,-0.002452,-0.006049,0.011736,0.932421,-0.005607,-0.013456,0.006448,-0.211399,0.013777,0.956481,0.199301,0.009694,0.908361,0.039985,-0.027613,0.413529,199
-0.030300,-0.002541,-0.002748,0.023423,-0.012113,-0.001999,-0.006163,0.011492,0.932342,-0.003438,-0.007327,-0.002373,-0.212409,0.013693,0.956390,0.200082,0.009291,0.908294,0.029749,-0.023624,0.415308,200
-0.024716,-0.009556,-0.002248,0.023530,-0.014436,0.012177,-0.006183,0.011092,0.932508,-0.000593,-0.011996,0.004966,-0.213232,0.013374,0.956315,0.200866,0.008809,0.908700,0.024191,-0.022141,0.416852,201
-0.018660,-0.008048,-0.001842,0.018897,-0.006018,0.009965,-0.006179,0.010857,0.932643,0.000118,-0.007033,0.004061,-0.213854,0.013106,0.956253,0.201496,0.008609,0.909033,0.018245,-0.017714,0.418050,202
-0.008777,-0.006833,0.013812,0.016337,-0.012713,0.008152,-0.006053,0.010532,0.933009,0.003780,-0.009773,0.010981,-0.214147,0.012878,0.956714,0.202041,0.008185,0.909304,0.010206,-0.015451,0.418905,203
-0.006897,-0.003310,0.011308,0.020277,-0.004148,0.020564,-0.005830,0.010407,0.933540,0.006690,-0.003729,0.015936,-0.214377,0.012768,0.957091,0.202717,0.008047,0.909990,0.008085,-0.017887,0.419771,204
-0.005397,-0.009419,0.009254,0.030466,-0.003140,0.002934,-0.005412,0.010198,0.933743,0.012535,-0.006279,0.006094,-0.214557,0.012454,0.957399,0.203732,0.007942,0.910088,0.006301,-0.029975,0.420980,205
-0.004211,-0.006606,0.007580,0.032994,0.001053,0.016311,-0.004933,0.010105,0.934141,0.014392,-0.002777,0.011947,-0.214697,0.012234,0.957652,0.204832,0.007977,0.910631,0.004962,-0.030960,0.422177,206
-0.003553,-0.005910,0.006198,0.030637,-0.005520,-0.000536,-0.004481,0.009915,0.934236,0.013542,-0.005715,0.002831,-0.214816,0.012037,0.957858,0.205853,0.007793,0.910613,0.004163,-0.030559,0.423335,207
-0.005113,-0.005107,0.005085,0.021999,0.001130,-0.000452,-0.004200,0.009849,0.934313,0.008443,-0.001989,0.002317,-0.214986,0.011866,0.958028,0.206586,0.007831,0.910598,0.005601,-0.021900,0.424251,208
-0.004949,0.001013,-0.011156,0.016741,0.001224,-0.000358,-0.004003,0.009886,0.934121,0.005896,0.001118,-0.005758,-0.215151,0.011900,0.957656,0.207144,0.007872,0.910586,0.003692,-0.016665,0.424930,209
-0.007899,0.001650,-0.009127,0.010044,-0.004781,-0.000295,-0.003967,0.009834,0.933964,0.001072,-0.001565,-0.004710,-0.215414,0.011955,0.957352,0.207479,0.007712,0.910577,0.006864,-0.010062,0.425494,210
-0.007303,0.007920,-0.007476,-0.000625,0.006761,-0.000241,-0.004100,0.010078,0.933836,-0.003964,0.007340,-0.003859,-0.215658,0.012219,0.957102,0.207458,0.007938,0.910568,0.006521,0.000663,0.425689,211
-0.005859,-0.001283,-0.021334,-0.003470,-0.008304,-0.000197,-0.004255,0.009919,0.933477,-0.004665,-0.004794,-0.010766,-0.215853,0.012176,0.956391,0.207343,0.007661,0.910562,0.003514,0.003341,0.425694,212
-0.007613,0.001992,-0.017472,-0.002578,0.002685,-0.013973,-0.004425,0.009997,0.932953,-0.005096,0.002339,-0.015723,-0.216107,0.012243,0.955809,0.207257,0.007750,0.910096,0.005714,0.001092,0.425848,213
-0.010652,-0.000946,0.000926,0.003030,0.003660,-0.011442,-0.004552,0.010042,0.932777,-0.003811,0.001357,-0.005257,-0.216462,0.012211,0.955840,0.207358,0.007872,0.909715,0.010680,-0.004213,0.426344,214
-0.013570,-0.008860,0.000747,0.010405,0.001662,0.004445,-0.004605,0.009922,0.932864,-0.001583,-0.003599,0.002596,-0.216914,0.011916,0.955865,0.207705,0.007928,0.909863,0.013488,-0.009849,0.427122,215
-0.013517,-0.007756,0.000608,0.015206,0.000335,0.003632,-0.004577,0.009798,0.932935,0.000844,-0.003710,0.002121,-0.217365,0.011657,0.955885,0.208211,0.007939,0.909984,0.013437,-0.014726,0.428061,216
-0.014140,-0.008965,0.000504,0.019557,-0.010003,0.002988,-0.004486,0.009482,0.932993,0.002709,-0.009484,0.001745,-0.217836,0.011359,0.955902,0.208863,0.007606,0.910084,0.014034,-0.019213,0.429169,217
-0.012221,-0.006225,0.000409,0.030575,-0.010203,0.016326,-0.004180,0.009208,0.933272,0.009177,-0.008214,0.008368,-0.218243,0.011151,0.955915,0.209883,0.007265,0.910628,0.012140,-0.028779,0.430532,218
-0.014709,-0.004723,0.015644,0.035186,-0.000217,0.013352,-0.003839,0.009126,0.933755,0.010239,-0.002470,0.014498,-0.218734,0.010994,0.956437,0.211055,0.007258,0.911073,0.016228,-0.033591,0.432193,219
-0.012891,-0.004004,0.012800,0.042809,0.005944,0.024920,-0.003340,0.009158,0.934384,0.014959,0.000970,0.018858,-0.219163,0.010860,0.956864,0.212482,0.007456,0.911904,0.014116,-0.039950,0.433994,220
-0.011083,-0.002013,0.010491,0.060429,-0.027418,0.006425,-0.002518,0.008668,0.934665,0.024673,-0.014715,0.008458,-0.219533,0.010793,0.957213,0.214497,0.006542,0.912118,0.012088,-0.059706,0.436387,221
-0.009559,-0.000951,0.008590,0.058119,0.003313,0.005262,-0.001709,0.008707,0.934896,0.024280,0.001181,0.006927,-0.219851,0.010761,0.957500,0.216434,0.006653,0.912293,0.010384,-0.057233,0.438641,222
0.009211,0.009164,-0.008279,0.029567,0.008719,-0.009579,-0.001062,0.009005,0.934599,0.019389,0.008941,-0.008930,-0.219544,0.011067,0.957224,0.217420,0.006943,0.911974,-0.009928,-0.030314,0.439320,223
0.087243,0.059369,-0.052162,-0.046204,0.010206,-0.035389,-0.000378,0.010165,0.933140,0.020520,0.034787,-0.043774,-0.216636,0.013046,0.955485,0.215879,0.007284,0.910794,-0.091348,0.042454,0.434857,224
0.211186,0.123364,-0.102022,-0.173500,0.024863,-0.069698,0.000250,0.012635,0.930278,0.018843,0.074113,-0.085861,-0.209597,0.017158,0.952084,0.210096,0.008112,0.908471,-0.217905,0.165862,0.422050,225
