h1x_velocity,h1y_velocity,h1z_velocity,h2x_velocity,h2y_velocity,h2z_velocity,center_x,center_y,center_z,center_x_velocity,center_y_velocity,center_z_velocity,h1x_position,h1y_position,h1z_position,h2x_position,h2y_position,h2z_position,hand1_to_center,hand2_to_center,h1x_cg,h1y_cg,h1z_cg,h2x_cg,h2y_cg,h2z_cg,hand_distance,time
0.151520,-0.122933,0.273120,0.151699,-0.122979,0.278671,0.989508,-0.922266,2.274189,0.151609,-0.122956,0.275903,0.989521,-0.922270,2.274608,0.989495,-0.922262,2.273771,0.278740,-0.284293,1.019099,-0.940980,2.315728,1.019099,-0.940980,2.315728,0.000838,20
0.160848,-0.101749,0.223618,0.160988,-0.101793,0.228167,0.994872,-0.925658,2.281719,0.160918,-0.101772,0.225892,0.994883,-0.925661,2.282062,0.994862,-0.925655,2.281376,0.229334,-0.233909,1.007783,-0.945422,2.332315,1.007783,-0.945422,2.332315,0.000686,21
0.070150,-0.107458,0.273271,0.070265,-0.107487,0.277011,0.997213,-0.929241,2.290890,0.070206,-0.107473,0.275137,0.997221,-0.929243,2.291171,0.997204,-0.929238,2.290610,0.276261,-0.279990,1.007847,-0.939414,2.315728,1.007847,-0.939414,2.315728,0.000562,22
0.057786,-0.055309,0.133545,0.057882,-0.055338,0.136592,0.999140,-0.931085,2.295393,0.057836,-0.055323,0.135069,0.999147,-0.931087,2.295623,0.999133,-0.931083,2.295163,0.135733,-0.138795,0.979868,-0.945328,2.349142,0.979868,-0.945328,2.349142,0.000460,23
-0.104855,-0.077441,0.291052,-0.104778,-0.077466,0.293548,0.995646,-0.933667,2.305136,-0.104817,-0.077453,0.292304,0.995652,-0.933668,2.305324,0.995641,-0.933665,2.304948,0.288345,-0.290846,1.009306,-0.941412,2.332315,1.009306,-0.941412,2.332315,0.000377,24
0.074258,-0.042121,0.146770,0.074320,-0.042136,0.148823,0.998123,-0.935071,2.310063,0.074290,-0.042129,0.147793,0.998128,-0.935072,2.310217,0.998118,-0.935070,2.309909,0.149340,-0.151421,0.990884,-0.942587,2.332315,0.990884,-0.942587,2.332315,0.000308,25
-0.039391,-0.040863,0.120170,-0.039343,-0.040877,0.121844,0.996811,-0.936433,2.314096,-0.039368,-0.040870,0.121007,0.996814,-0.936434,2.314222,0.996807,-0.936432,2.313970,0.119246,-0.120920,1.015488,-0.939860,2.315728,1.015488,-0.939860,2.315728,0.000252,26
0.101552,-0.018625,0.008197,0.101599,-0.018641,0.009563,1.000196,-0.937054,2.314392,0.101577,-0.018632,0.008876,1.000200,-0.937055,2.314496,1.000193,-0.937054,2.314289,0.011394,-0.012875,1.009546,-0.934819,2.299376,1.009546,-0.934819,2.299376,0.000207,27
0.050826,0.012161,-0.082226,0.050855,0.012154,-0.081096,1.001891,-0.936649,2.311670,0.050840,0.012156,-0.081654,1.001894,-0.936650,2.311755,1.001888,-0.936648,2.311586,-0.080708,0.079515,1.007819,-0.937197,2.315728,1.007819,-0.937197,2.315728,0.000169,28
0.032219,-0.002972,0.021601,0.032251,-0.002977,0.022516,1.002966,-0.936748,2.312406,0.032233,-0.002974,0.022058,1.002968,-0.936749,2.312475,1.002963,-0.936748,2.312336,0.022617,-0.023530,1.003417,-0.935757,2.315728,1.003417,-0.935757,2.315728,0.000139,29
